row,url,address,name,latitude,longitude,food
116,https://www.zomato.com/indore/bismillah-restaurant-geeta-bhavan,"764, Azad Nagar, Geeta Bhavan, Indore",Bismillah Restaurant,22.71857,75.89189,
117,https://www.zomato.com/indore/om-sae-ram-restaurant-vijay-nagar,"Shop 03, Niranjanpur Chouraha, Behind Hanuman Mandir, Dewas Naka, Vijay Nagar, Indore",Om Sae Ram Restaurant,0,0,Egg Thali
118,https://www.zomato.com/indore/drunken-monkey-vijay-nagar,"Plot 192, Scheme 54, PU 4, Behind Malhar Mega Mall, AB Road, Vijay Nagar, Indore",Drunken Monkey,37.172479,-3.66072,Dal Tadka
119,https://www.zomato.com/indore/daluz-cafe-vijay-nagar,"Shop 1, Plot 6, Ground Floor, PU 4, Scheme 54, Vijay Nagar, Indore",Daluz Cafe,22.752373,75.891541,
120,https://www.zomato.com/indore/mr-eggzotic-old-palasia,"11, Anand Bazar, Ravi Nagar, Old Palasia, Indore",Mr. Eggzotic,22.6946,75.89085,"Mutton Paya Soup,Chicken Burger,Chicken Biryani,Chicken Biryaani,Butter Chicken,Chicken Lollipop,Kheer"
121,https://www.zomato.com/indore/raja-ram-dhaba-sweets-namkeen-vijay-nagar,"312/2, Near Dimond Petrol Pump, Dewas Naka, Vijay Nagar, Indore","Raja Ram - Dhaba, Sweets & Namkeen",22.752373,75.891541,
122,https://www.zomato.com/indore/kings-xi-restaurant-vijay-nagar,"R 396, Mahalaxmi Nagar, Nariman Point Road, Vijay Nagar, Indore",Kings XI Restaurant,19.06812,72.84896,
123,https://www.zomato.com/indore/biryanotech-cafe-khajrana,"Shop 2, Nahar Shah Road, Bengali Colony, Khajrana, Indore",Biryanotech Cafe,17.3581,78.5186,
124,https://www.zomato.com/indore/hotel-ten-eleven-vijay-nagar,"137 & 138, Scheme 78, Part 02, Vijay Nagar, Indore",Hotel Ten Eleven,22.76876,75.89075,
125,https://www.zomato.com/indore/auntys-rasoi-ranjeet-hanuman,"238, Usha Nagar Extension, Opposite Ranjeet Hanuman Parking Gate, Ranjeet Hanuman, Indore",Auntys Rasoi,22.70098,75.83778,
126,https://www.zomato.com/indore/taberna-online-kitchen-vijay-nagar,"Scheme 94C, 18A, 1st Floor, Velocity Multiplex, Ring Road, Vijay Nagar, Indore",Taberna Online Kitchen,0,0,"Dal Makhani,Chicken Biryani,Lassi,Butter Chicken,Paneer Tikka Masala,Dahi Ke Kabab,Malai Kofta"
127,https://www.zomato.com/indore/book-my-roti-vijay-nagar,"Shop 02, Scheme 54, Near Soft Vision College, Vijay Nagar, Indore",Book My Roti,22.737567,75.88524,"Stuffed Garlic Bread,Cheese Burst Pizza"
128,https://www.zomato.com/indore/cool-uncle-ice-cream-lounge-cafe-vijay-nagar,"G1, Ankur Place, Scheme 54, Vijay Nagar, Indore",Cool Uncle Ice Cream Lounge & Cafe,22.76838,75.8925,"Egg Curry,Tandoori Roti,Chicken Sukha,Chilli Paneer"
129,https://www.zomato.com/indore/pind-balluchi-vijay-nagar,"RH 13, Sector A, Scheme 54, Vijay Nagar, Indore",Pind Balluchi,12.32113,76.6038,
130,https://www.zomato.com/indore/dominos-pizza-vijay-nagar,"32, Ground Floor, Prime House, Meghdoot Road, Sayaji Circle, Vijay Nagar, Indore",Domino's Pizza,0,0,
131,https://www.zomato.com/indore/linkbite-vijay-nagar,"203 DH, Scheme 74 C, Behind Apollo Hospital, Vijay Nagar, Indore",Linkbite,0,0,
132,https://www.zomato.com/indore/mughals-vijay-nagar,"RH 110, Slice 1, Scheme 78, Behind Medicure Medical, Vijay Nagar, Indore",Mughal's,22.557978,75.767267,"Butter Chicken,Mutton Bhuna,Keema Kaleji,Mutton Curry"
133,https://www.zomato.com/indore/prakash-dhaba-vijay-nagar,"66-67, Niranjanpur, A.B. Road, Dewas Naka, Vijay Nagar, Indore",Prakash Dhaba,22.76673,75.90041,"Pasta,Paneer Tikka,Pizza,Nachos,Cold Coffee,Brownie Frappe,Cheese Balls"
134,https://www.zomato.com/indore/grub-shop-south-tukoganj,"4th Floor, Shivam Complex, South Tukoganj, Indore",Grub Shop,22.71973,75.87602,
135,https://www.zomato.com/indore/kukdu-kuu-club-vijay-nagar,"Upper Ground-7A, BCM Heights, Vijay Nagar, Indore",Kukdu Kuu Club,22.76024,75.88638,
136,https://www.zomato.com/indore/the-eyry-2-new-palasia,"Ground Floor Narayan Kothi, Zanzeerwala Square 18, R S Bhandari Marg, New Palasia, Indore",The Eyry,22.705243,75.864121,
137,https://www.zomato.com/indore/appu-restaurant-1-vijay-nagar,"Ganga Devi Nagar, Vijay Nagar, Indore",APPU Restaurant,22.75943,75.88601,
138,https://www.zomato.com/indore/foodles-old-palasia,"G-3, Regal Tower 45, Baikunthdham Colony, Anand Bazar Road, Old Palasia, Indore",Foodles,40.71973,-111.83444,
139,https://www.zomato.com/indore/cafe-yolo-old-palasia,"LG 6-7-8 Navneet Plaza, Palasia, Indore",Cafe Yolo,40.67948,-111.94806,
140,https://www.zomato.com/indore/red-chilli-restaurant-mr-10-road,"111, Shyam Nagar, Infront Of Mount Caramel School, Sukhliya, MR 10 Road, Indore",Red Chilli Restaurant,40.71973,-111.83444,Prompt Service
141,https://www.zomato.com/indore/night-food-stand-new-palasia,"56 Dukan, New Palasia, Indore",Night Food Stand,22.72546,75.88328,
142,https://www.zomato.com/indore/waff-up-by-foobae-khajrana,"Patrakar Colony, Saket, Khajrana, Indore",Waff Up! by Foobae,22.72544,75.89487,
143,https://www.zomato.com/indore/the-cooks-door-vijay-nagar,"Plot 136, Scheme 78, Part 2, Near Ana Convent School, Vijay Nagar, Indore",The Cooks Door,22.705243,75.864121,
144,https://www.zomato.com/indore/bamboo-tree-the-boutique-restaurant-vijay-nagar,"165/A, Tulsi Nagar, Vijay Nagar, Indore",Bamboo Tree The Boutique Restaurant,0,12,
145,https://www.zomato.com/indore/anytime-khanewala-khajrana,"57, Ground Floor, Swarnbagh Colony, Khajrana, Indore",Anytime Khanewala,0,12,
