link,address,name
https://www.zomato.com/indore/shy-chef-old-palasia,"G 2, 220 A, Saket Nagar, Old Palasia, Indore",Shy Chef
https://www.zomato.com/indore/veggy-corner-old-palasia,"G-3, 21 Shilver Enclave Colony, Business Empire, 11/2, Old Palasia, Indore",Veggy Corner
https://www.zomato.com/indore/wok-n-roll-vijay-nagar,20/ slice 4 scheme no.78 jain Mandir vijay nagar indore,Wok N Roll
https://www.zomato.com/indore/sgf-spice-grill-flame-vijay-nagar,"S-24, Shahid Bhagat Singh, Parisar, Vijay Nagar, Indore",SGF - Spice Grill Flame
https://www.zomato.com/indore/kfc-vijay-nagar,"Malhar Mega Mall, Vijay Nagar, Indore",KFC
https://www.zomato.com/indore/the-market-fairfield-by-marriott-vijay-nagar,"Plot 18/C, CA Scheme 94, Ring Road, Vijay Nagar, Indore",The Market - Fairfield by Marriott
https://www.zomato.com/indore/pooja-sweets-and-bakery-sapna-sangeeta,"35/3, B.K. Sindhi Colony, Indore, Sapna Sangeeta, Indore",Pooja Sweets And Bakery
https://www.zomato.com/indore/divine-cafe-1-vijay-nagar,"645, 1st Floor, MR 3, Mahalaxmi Nagar, Near Shiv Shakti Mandir, Vijay Nagar, Indore",Divine Cafe
https://www.zomato.com/indore/baskin-robbins-1-old-palasia,"1, Joy Builder Colony, Saket, Old Palasia, Indore",Baskin Robbins
https://www.zomato.com/indore/the-gaming-kitchen-vijay-nagar,"5, Scheme 78, Part 2, Opposite Prestige College, Vijay Nagar, Indore",The Gaming Kitchen
https://www.zomato.com/indore/corn-king-vijay-nagar,"1, Maha Ambika Nagar, Behind Mangal City, Vijay Nagar, Indore",Corn King
https://www.zomato.com/indore/bake-n-shake-vijay-nagar,"Shop 3 & 4, Giriraj Grande, BCM Heights, Satya Sai Square, Vijay Nagar, Indore",Bake N Shake
https://www.zomato.com/indore/j-r-sandwich-2-sarafa-bazaar,"Sarafa Bazaar, Indore",J R Sandwich
https://www.zomato.com/indore/shrinath-restaurant-mr-10-road,"87, Shraddha Shri Colony, MR 9, Near MR 10 Road, Indore",Shrinath Restaurant
https://www.zomato.com/indore/shiva-chinese-wok-old-palasia,"Patrakar Square, Near Eureka Hospital, Saket Nagar",Shiva Chinese Wok
https://www.zomato.com/indore/pitchers-cafebar-vijay-nagar,"4-5, Scheme 54, Satguru Parinay, Opposite C21 Mall, Vijay Nagar, Indore",Pitchers Cafebar
https://www.zomato.com/tahoora-chickens-food-truck,"53, Qadar Colony, Khajrana, Indore",Tahoora Chickens
https://www.zomato.com/indore/waffles-more-old-palasia,"Shop 4, 57 Patrakar Colony, Old Palasia, Indore",Waffles & More
https://www.zomato.com/indore/indian-food-house-vijay-nagar,"EB 233, Scheme 94, Opposite Bombay Hospital, Vijay Nagar, Indore",Indian Food House
https://www.zomato.com/indore/aspi-new-palasia,"Shop 11, Lower Ground, Darshan Mall, Race Course Road, Near Zanjeer Wala Square, Below HSBC, New Palasia, Indore",Aspi
https://www.zomato.com/indore/mahadev-restaurant-jail-road,"142, Devi Ahilya Marg, Near Alka Talkies, Jail Road, Indore",Mahadev Restaurant
https://www.zomato.com/indore/prithviraj-vijay-nagar,"1-4, Mahesh Bagh Colony, MR-9, Vijay Nagar, Indore",Prithviraj
https://www.zomato.com/indore/shrinath-restaurant-geeta-bhavan,"Shop 432, Geeta Nagar, Opposite Tirupati Garden, Geeta Bhavan, Indore",Shrinath Restaurant
https://www.zomato.com/indore/atrangi-cafe-vijay-nagar,"G-5, Process Bussiness Skypro, Opposite Orbit Mall, Vijay Nagar, Indore",Atrangi cafe
https://www.zomato.com/indore/yummy-bowwl-hig-lig,"681, Bhagirathpura main chouraha , Indore, HIG-LIG, Indore",Yummy Bowwl
https://www.zomato.com/indore/desi-zayka-vijay-nagar,"1, Shimla Pride, Bombay Hospital, Vijay Nagar, Indore",Desi Zayka
https://www.zomato.com/indore/ghar-ka-zayka-vijay-nagar,"Plot 139, Scheme 78, Part 2, Vijay Nagar, Indore",Ghar Ka Zayka
https://www.zomato.com/indore/icekraft-vijay-nagar,"Shop 5, Scheme 78, Part 2, Opposite Prestige College, Vijay Nagar, Indore",Icekraft
https://www.zomato.com/indore/midnight-chillies-by-pass-road-north,Bicholi Mardana,Midnight Chillies
